level,acc,sigacc,max_ave,max_squ,err,choices,elim_choices,
63,7.81312e+63,1.768,14.77,344.798,0,0.738,1.002,
62,6.78701e+72,1.878,15.768,378.712,0,1.466,1.558,
63,10.3619,0.236,14.926,330.574,0,0.724,1,
62,29.2392,0.478,14.332,319.816,0.002,1.504,1.53,
61,35.6647,0.588,15.22,368.372,0.01,2.196,2.106,
60,41.975,0.528,16.342,391.05,0.012,2.852,2.546,
59,49.3737,0.496,16.908,432.72,0.022,3.582,3.06,
58,55.7639,0.63,17.432,451.22,0.014,4.056,3.49,
