,4,1.82145e-303,2,3,0
,5,10.3585,2,2,6.825
,6,21.8517,3,2,1.675
,7,9.21442,4,2,15.44
,8,14.9743,3,1,11.892
,9,13.7773,1,3,11.347
,10,21.1127,1,2,42.701
,11,12.3623,2,0,25.925
,12,12.209,5,3,13.074
,13,4.71551,2,4,18.331
,14,24.1064,5,2,28.315
,15,-1.55135,2,1,33.498
,16,7.76294,0,3,74.244
,17,1.75671,5,1,31.235
,18,16.7445,5,0,15.543
,19,7.87711,5,4,16.524
,20,10.6735,3,0,103.22
,21,8.39514,4,0,4.339
,22,19.8831,1,0,2.959
,23,-8.3205,1,4,9.588
,24,8.66425,4,1,2.899
,25,6.59273,0,4,5.502
,26,15.492,0,5,8.579
,27,-1.5933,1,5,16.532
,28,8.7178,5,5,17.28
,29,4.47121,6,5,22.705
,30,14.8361,3,5,35.226
,31,-2.2435,4,6,55.655
,32,3.75471,2,5,59.931
,33,3.19001,0,2,24.076
,34,9.01812,0,1,18.005
,35,-1.42213,2,6,20.686
,36,5.88036,6,4,31.045
,37,-1.33801,4,5,17.106
,38,6.43386,5,6,23.722
,39,2.8801,7,3,29.482
,40,-0.809455,5,7,14.889
,41,-3.81347,6,3,19.035
,42,-1.6929,3,6,4.683
,43,6.89237,1,6,17.987
,44,-16.7262,6,2,4.897
,45,10.0003,7,2,53.645
,46,-13.8184,3,7,8.762
,47,12,1,7,82.824
,48,-12,1,1,40.743
,49,12,0,0,2.748
,50,-12,2,7,3.591
,51,12,6,0,0.569
,52,-12,0,7,0.093
,53,12,4,7,0.088
,54,-12,7,4,0.033
,55,12,7,5,0.011
,56,-12,7,1,0.004
,57,12,7,0,0.001
,58,-12,6,1,0.001
,59,12,0,6,0
,60,-12,7,6,0
,61,12,7,7,0
,62,-12,6,7,0
,63,12,6,6,0
,64,-12,-1,-1,0
,64,12,-1,-1,0
,4,-12,2,3,0
,5,11.722,2,2,3.741
,6,10.9181,3,2,1.772
,7,12.1624,2,4,11.815
,8,12.4843,1,3,16.049
,9,12.6193,3,1,11.693
,10,13.1014,4,1,46.832
,11,12.0168,4,2,20.924
,12,11.4438,2,5,25.075
,13,10.7502,1,2,38.249
,14,9.26756,1,4,19.17
,15,10.9559,2,1,39.566
,16,9.05777,2,0,14.876
,17,6.80725,0,3,32.961
,18,18.5239,0,4,26.386
,19,-0.716753,0,5,9.363
,20,14.5878,1,5,23.697
,21,11.505,4,0,14.524
,22,5.3616,5,5,10.885
,23,5.9861,3,0,4.022
,24,10.9406,5,0,6.938
,25,10.1126,5,4,29.838
,26,9.03278,0,2,14.225
,27,7.74865,0,1,7.915
,28,4.04897,5,1,23.539
,29,14.4648,3,6,9.456
,30,-1.72313,2,6,35.566
,31,7.09356,5,3,13.892
,32,0.816562,3,5,20.887
,33,12.3584,4,6,11.207
,34,5.09031,4,5,32.149
,35,6.77297,6,4,50.724
,36,1.01487,6,5,49.254
,37,11.4397,5,2,28.156
,38,0.959017,2,7,21.763
,39,13.9243,5,6,15.194
,40,-4.54245,7,5,30.491
,41,6.12711,6,3,15.076
,42,-7.17611,3,7,8.784
,43,5.97449,5,7,3.521
,44,-12.1093,7,2,9.125
,45,1.46966,4,7,2.897
,46,-16.3959,6,7,30.251
,47,-2,7,3,3.738
,48,-18,7,4,9.618
,49,18,0,6,1.671
,50,-18,1,6,0.78
,51,18,6,1,0.272
,52,-18,1,1,0.209
,53,18,0,7,0.062
,54,-18,1,7,0.019
,55,18,7,7,0.009
,56,-18,7,0,0.005
,57,18,7,6,0.001
