63,3.99883,0.089,23.296,727.052,0,0.776,1.007,
62,13.1993,0.157,23.454,740.32,0,1.387,1.003,
61,18.4792,0.213,24.548,805.096,0,1.803,1,
60,22.9777,0.225,24.82,815.602,0,2.317,1,
59,28.546,0.229,24.74,815.038,0,2.672,1.001,
58,31.3996,0.243,26.303,908.803,0,3.104,1.001,
57,39.412,0.275,26.398,910.132,0,3.551,1.003,
63,370.158,1.996,4.28434e+157,746.257,0,0.783,1.009,
62,347.409,1.737,22.943,714.745,0,1.368,1.002,
61,407.361,1.883,24.685,817.789,0,1.679,1.002,
60,395.898,1.7,24.782,807.532,0,2.128,1.002,
59,429.034,1.97,25.488,859.074,0,2.684,1.002,
58,97.6283,0.213,25.938,878.02,0,3.24,1,
57,73.6661,0.242,25.827,866.545,0,3.64,1.002,
56,79.2042,0.327,26.317,906.731,0,4.252,1.003,
55,68.324,0.266,27.071,957.587,0,4.509,1.001,
54,66.5152,0.318,26.274,913.298,0.018,4.992,1,
53,66.7232,0.296,28.204,1034.28,0.012,5.459,1.001,
52,66.3429,0.285,27.804,1008.56,0.028,5.712,1,
51,33.1375,0.304,20.4772,579.395,0.018,6.107,1.001,
50,38.5772,0.276,22.6665,669.136,0.011,6.647,1,
49,33.5001,0.256,23.183,715.113,0.012,6.923,1.001,
48,38.4257,0.332,23.1542,704.078,0.014,7.356,1.003,
47,33.5897,0.288,22.8626,702.964,0.018,7.758,1.001,
46,13.8918,0.288,18.0765,441.255,0.007,7.789,1,
45,15.292,0.26,19.5247,481.774,0.005,8.234,1,
44,16.5366,0.312,18.7041,470.646,0.011,8.579,1.001,
43,16.2774,0.236,19.5881,493.363,0.011,8.851,1.003,
42,19.5977,0.36,18.8907,479.275,0.004,9.301,1,
41,10.0728,0.224,17.1281,406.068,0.007,9.26,1,
40,16.9312,0.34,17.5273,415.168,0.004,9.73,1,
39,12.7293,0.272,17.4974,427.253,0.006,9.805,1,
38,15.1724,0.26,17.9809,429.302,0.006,10.282,1.001,
37,15.1122,0.364,18.1482,464.679,0.005,10.373,1,
36,11.5481,0.288,14.9681,317.423,0.006,10.74,1.001,
35,13.2046,0.3,15.8661,345.367,0.003,10.531,1.001,
34,13.9517,0.356,14.9595,322.439,0.004,11.05,1,
33,14.0683,0.308,15.0354,314.297,0.002,10.981,1.001,
32,15.0664,0.272,15.7587,350.195,0.001,11.229,1,
31,7.98304,0.328,14.394,298.323,0.002,11.067,1.001,
30,10.5408,0.264,13.9783,278.291,0.001,11.607,1,
29,10.5546,0.364,13.6915,283.422,0.002,11.12,1,
28,9.973,0.328,12.7999,236.115,0.002,11.628,1,
27,10.5493,0.368,12.9932,253.466,0.002,11.415,1,
26,7.37514,0.284,12.1504,219.215,0.004,11.526,1,
25,9.40171,0.448,11.1294,188.723,0,11.165,1,
24,9.21641,0.424,10.9854,184.896,0.001,11.538,1.001,
23,8.5457,0.308,10.9941,181.972,0,11.166,1,
22,10.1318,0.448,10.5908,167.526,0,11.179,1,
21,5.58314,0.264,12.2682,209.91,0.002,10.992,1.001,
20,7.15917,0.364,8.94582,123.406,0,10.87,1,
19,6.3943,0.36,9.74606,147.688,0,10.652,1,
18,7.15679,0.368,8.51787,110.23,0.001,10.379,1.001,
17,6.63629,0.428,8.2092,104.41,0,10.024,1.001,
16,3.89606,0.312,9.34786,126.297,0,9.742,1,
15,5.50051,0.532,6.33519,63.4087,0,9.16,1,
14,5.5006,0.384,7.10319,79.2543,0,9.083,1,
13,4.8271,0.412,6.92705,72.3043,0,8.126,1,
12,5.38598,0.52,6.35475,65.4856,0.001,7.886,1,
11,2.83894,0.032,12.8258,194.302,0,7.046,1,
10,3.02848,0.48,4.81855,36.6318,0,6.876,1,
9,1.80114,0.04,8.27547,88.528,0,5.69,1,
8,0.640768,0.044,4.29677,28.8262,0,6.067,1,
7,0.00642242,0,5.0181,37.5056,0,4.11,1,
6,6.06179e-05,0,8.54142,72.9674,0,4.736,1,
