level,acc,sigacc,max_ave,max_squ,err,choices,elim_choices,
34,11.3528,0.336,16.0849,373.029,0.004,11.932,7.574,
33,14.0675,0.248,17.2021,442.669,0,11.984,7.672,
32,16.3971,0.384,16.5748,421.823,0.006,11.938,7.822,
31,17.1761,0.392,16.656,443.964,0.008,12.092,7.362,
30,12.7518,0.392,14.2694,327.07,0.002,12.198,7.364,
29,9.55852,0.24,16.0011,377.392,0.002,12.368,7.248,
28,14.0401,0.328,15.4685,379.103,0.002,12.37,7.842,
27,12.0567,0.304,14.6259,326.365,0.016,12.47,7.338,
26,11.1901,0.376,14.2447,308.964,0.006,12.134,7.328,
25,9.52959,0.264,15.1019,348.375,0.004,12.134,7.04,
24,13.8056,0.36,15.9139,406.113,0.006,11.86,7.642,
23,11.5231,0.272,16.4218,419.28,0.004,11.618,6.856,
22,11.8251,0.424,13.0263,277.878,0.004,11.734,6.968,
21,9.8216,0.208,18.0197,453.969,0.002,11.534,6.864,
20,14.3782,0.288,14.642,343.572,0,10.958,7.376,
19,11.9153,0.288,17.1828,443.112,0.002,10.846,6.652,
18,12.9533,0.36,13.1397,268.945,0.01,10.486,6.748,
17,13.8928,0.56,10.66,179.766,0.004,10.134,6.596,
16,11.9143,0.336,12.7351,255.037,0.002,9.836,6.468,
15,14.1007,0.4,13.0411,248.556,0,9.196,6.402,
14,13.9654,0.392,12.8594,250.679,0.01,8.958,6.144,
13,12.9851,0.416,9.90147,149.762,0.002,8.262,5.494,
12,11.9596,0.208,13.6947,256.808,0.002,8.066,6.07,
11,13.3776,0.624,8.28311,99.3491,0.008,7.004,5.218,
10,7.65954,0.136,12.4544,205.306,0.004,7.036,5.18,
