level,acc,sigacc,max_ave,max_squ,err,choices,elim_choices,
60,39.2839,0.566,8.40183e-306,1.27369e-313,0,1.002,1.002,
59,43.0319,0.472,8.41863e-306,1.27624e-313,0,1,1,
58,54.2852,0.6,1.40589e-306,1.27356e-313,0,1.002,1.002,
58,48.7524,0.516,3.65346e-305,1.27635e-313,0.082,4.816,2.7,
57,52.0364,0.504,18.302,484.006,0.06,5.518,2.856,
56,58.744,0.488,17.792,466.632,0.064,5.922,3.176,
55,60.0715,0.664,18.122,501.778,0.024,6.386,3.168,
54,97858.1,1.816,36.8119,200385,0.022,6.322,3.326,
54,100209,0.984,38.1207,200444,0.028,6.38,3.312,
54,8.94014,0.192,17.6906,469.576,0.028,6.218,3.072,
54,8.12471,0.24,17.1905,443.956,0.032,6.846,3.29,
53,7.25228,0.2,17.894,475.631,0.036,6.374,3.09,
54,6.94082,0.2,17.0588,432.736,0.016,6.832,3.274,
53,6.35402,0.16,17.7354,461.308,
