level,acc,sigacc,max_ave,max_squ,err,choices,elim_choices,
57,54.2661,0.58,20.058,580.898,0.032,4.168,3.192,
56,56.4159,0.498,20.26,591.132,0.034,4.648,3.508,
55,61.842,0.484,20.666,629.234,0.036,5.364,3.91,
54,61.9906,0.52,22.528,730.7,0.05,5.784,4.16,
53,63.7895,0.54,21.388,669.228,0.058,6.18,4.328,
52,27.7807,0.36,18.2639,464.972,0.024,6.558,4.568,
51,22.2334,0.344,17.857,449.878,0.014,7.362,5.354,
50,24.8687,0.312,18.9656,496.328,0.012,7.53,5.644,
49,22.6272,0.368,18.2372,454.824,0.01,8.526,6.008,
63,6.674,0.196,17.154,428.082,0,0.75,1.002,
62,22.7546,0.318,17.06,424.82,0,1.372,1.426,
61,29.8571,0.248,18.306,483.194,0.016,1.974,1.872,
60,37.9631,0.42,18.756,526.716,0.028,2.53,2.142,
59,41.9127,0.398,19.032,529.548,0.026,3.058,2.538,
58,46.2748,0.422,20.436,598.94,0.032,3.706,2.83,
57,53.6489,0.564,20.41,609.934,0.036,4.172,3.214,
56,58.9452,0.538,20.36,593.764,0.054,4.822,3.576,
55,51.2365,0.446,20.836,618.34,0.044,5.346,3.846,
54,63.0401,0.614,21.134,643.47,0.056,5.716,4.152,
63,6.71813,0.148,17.646,454.986,0,0.772,1.004,
62,19.7476,0.322,17.746,461.99,0,1.38,1.436,
61,28.5213,0.392,18.302,502.014,0.008,1.998,1.934,
60,37.0456,0.476,18.316,511.152,0.024,2.492,2.148,
59,52.0662,0.388,19.168,541.456,0.034,3.074,2.482,
58,49.5164,0.428,19.216,525.028,0.046,3.604,2.726,
57,56.1667,0.608,18.838,538.958,0.044,4.276,3.334,
56,52.4807,0.496,20.674,605.63,0.05,4.692,3.506,
55,65.6141,0.51,21.698,659.642,0.04,5.288,3.864,
54,60.4001,0.492,22.318,676.966,0.042,5.762,4.118,
53,59.3228,0.498,22.306,699.05,0.048,6.174,4.314,
52,26.3404,0.376,18.0311,453.819,0.028,6.77,4.548,
51,28.2582,0.416,18.5179,486.249,0.01,7.246,5.21,
50,26.957,0.4,17.7957,467.903,0.012,7.626,5.616,
49,22.6966,0.328,18.3566,473.541,0.01,8.032,5.588,
48,26.0708,0.416,18.7916,506.344,0.012,8.546,6.06,
47,23.6461,0.368,20.6079,603.012,0.02,9.254,6.474,
46,19.1565,0.336,16.4035,375.858,0.012,9.11,6.236,
45,17.5513,0.376,16.8973,396.802,0.004,10.168,7.586,
44,15.9445,0.432,16.3055,367.213,0.006,9.89,7.372,
43,14.5676,0.304,16.6429,396.263,0.01,10.778,8.188,
42,16.377,0.288,18.1348,465.529,0.014,10.404,7.722,
41,13.4276,0.264,19.4367,519.342,0.006,11.134,8.162,
40,11.6001,0.256,17.2961,404.102,0.002,11.052,7.53,
39,13.6082,0.2,18.627,472.87,0,11.484,8.252,
38,12.008,0.256,18.9409,480.425,0,11.416,8.314,
37,16.2727,0.28,21.9445,650.153,0.008,12.24,8.402,
36,14.6382,0.256,18.151,449.293,0.012,11.99,8.152,
35,12.1826,0.256,20.0451,539.259,0.008,12.522,9.076,
34,13.2318,0.28,20.3459,566.895,0.006,11.872,8.282,
33,16.4948,0.224,22.4496,682.826,0.002,12.102,8.114,
32,12.9881,0.28,20.147,556.532,0.012,12.214,8.004,
31,12.0909,0.264,20.5103,573.04,0.002,12.704,9.026,
30,15.9527,0.176,20.0643,543.94,0.008,12.286,8.044,
29,13.4494,0.28,22.0211,669.72,0.004,12.672,8.238,
28,9.61074,0.2,17.9876,488.003,0.008,12.226,7.802,
27,11.7188,0.304,18.7287,519.493,0.01,12.354,8.308,
26,11.2474,0.288,19.7598,568.78,0.008,12.06,8.158,
25,11.846,0.16,21.1162,642.57,0.002,12.238,7.958,
24,9.20026,0.288,17.9279,494.678,0.012,11.938,7.506,
23,10.708,0.36,16.9324,437.448,0.002,11.742,8.08,
22,11.1904,0.28,18.5955,529.005,0.002,11.38,7.542,
21,13.3852,0.304,18.6423,541.45,0.004,11.222,6.978,
20,9.07022,0.24,17.4932,469.584,0.004,11.066,6.916,
19,10.3249,0.368,14.905,365.32,0,10.494,7.456,
18,9.60747,0.24,16.8312,438.168,0,10.334,7.078,
17,10.8683,0.432,12.9427,270.949,0.004,9.902,6.608,
16,12.4843,0.488,12.8474,263.623,0,9.59,6.85,
15,9.69836,0.344,11.8018,210.139,0.004,9.158,6.384,
14,13.5094,0.456,10.541,179.784,0.002,8.84,6.906,
13,9.53006,0.376,10.0979,158.51,0.004,8.186,6.024,
12,8.92243,0.232,13.3836,255.737,0,8.004,6.352,
11,9.98049,0.688,7.61538,93.1277,0,7.198,5.708,
10,9.64409,0.728,6.84395,81.9179,0.004,7.082,5.76,
9,5.52472,0.184,10.6899,145.41,0.008,5.634,4.75,
8,3.22031,0.248,4.61104,36.188,0,6.084,5.356,
7,0.563717,0.184,6.36925,53.2082,0,4.026,3.952,
6,0.0195641,0,10.2154,105.223,0,4.69,4.076,
