63,3.99883,0.089,23.296,727.052,0,0.776,1.007,
62,13.1993,0.157,23.454,740.32,0,1.387,1.003,
61,18.4792,0.213,24.548,805.096,0,1.803,1,
60,22.9777,0.225,24.82,815.602,0,2.317,1,
59,28.546,0.229,24.74,815.038,0,2.672,1.001,
58,31.3996,0.243,26.303,908.803,0,3.104,1.001,
57,39.412,0.275,26.398,910.132,0,3.551,1.003,
63,370.158,1.996,4.28434e+157,746.257,0,0.783,1.009,
62,347.409,1.737,22.943,714.745,0,1.368,1.002,
61,407.361,1.883,24.685,817.789,0,1.679,1.002,
60,395.898,1.7,24.782,807.532,0,2.128,1.002,
59,429.034,1.97,25.488,859.074,0,2.684,1.002,
58,97.6283,0.213,25.938,878.02,0,3.24,1,
57,73.6661,0.242,25.827,866.545,0,3.64,1.002,
56,79.2042,0.327,26.317,906.731,0,4.252,1.003,
55,68.324,0.266,27.071,957.587,0,4.509,1.001,
54,66.5152,0.318,26.274,913.298,0.018,4.992,1,
53,66.7232,0.296,28.204,1034.28,0.012,5.459,1.001,
52,66.3429,0.285,27.804,1008.56,0.028,5.712,1,
51,33.1375,0.304,20.4772,579.395,0.018,6.107,1.001,
50,38.5772,0.276,22.6665,669.136,0.011,6.647,1,
49,33.5001,0.256,23.183,715.113,0.012,6.923,1.001,
48,38.4257,0.332,23.1542,704.078,0.014,7.356,1.003,
47,33.5897,0.288,22.8626,702.964,0.018,7.758,1.001,
46,13.8918,0.288,18.0765,441.255,0.007,7.789,1,
45,15.292,0.26,19.5247,481.774,0.005,8.234,1,
44,16.5366,0.312,18.7041,470.646,0.011,8.579,1.001,
43,16.2774,0.236,19.5881,493.363,0.011,8.851,1.003,
