63,5.45208,0.13,21.212,625.72,0,0.768,1.002,
63,4.96423,0.087,20.702,595.12,0,0.79,1.003,
62,13.7209,0.202,20.589,597.717,0,1.362,1.002,
61,21.6715,0.226,21.167,628.771,0,1.886,1.002,
60,28.5227,0.33,21.969,666.451,0,2.262,1.001,
59,33.5441,0.322,23.19,745.894,0,2.888,1,
63,6.43523,0.205,9.91748e+257,2.87646e+268,0,0.746,1,
62,18.8041,0.398,9.93731e+257,2.88221e+268,0,1.474,1.002,
61,30.8722,0.451,9.9274e+257,2.87934e+268,0,2.162,1.001,
60,37.6691,0.559,9.9274e+257,2.87934e+268,0,2.926,1.001,
59,45.7197,0.495,9.91748e+257,2.87646e+268,0,3.515,1,
58,46.2307,0.65,9.91748e+257,2.87646e+268,0,4.189,1,
57,45.2054,0.524,9.91748e+257,2.87646e+268,0,4.806,1,
56,50.5226,0.58,9.91748e+257,2.87646e+268,0,5.323,1,
55,47.3347,0.51,9.91748e+257,2.87646e+268,0,5.811,1,
54,49.7962,0.534,9.93731e+257,2.88221e+268,0,6.446,1.002,
53,51.7861,0.547,9.9274e+257,2.87934e+268,0,6.932,1.001,
52,47.297,0.493,9.9274e+257,2.87934e+268,0,7.365,1.001,
63,-nan(ind),2.026,14.963,341.739,0,0.738,1,
62,-nan(ind),1.928,15.922,381.412,0,1.493,1.001,
61,-nan(ind),1.691,15.635,376.453,0,2.205,1.002,
63,4.70163,0.172,14.631,321.815,0,0.724,1.002,
62,17.4125,0.37,14.754,332.526,0,1.511,1.001,
61,26.5217,0.406,16.07,386.078,0,2.182,1,
60,29.6399,0.451,16.241,393.885,0,2.846,1,
59,36.0257,0.436,16.688,411.102,0,3.505,1,
58,43.2385,0.585,16.517,416.945,0,4.123,1,
57,43.7071,0.443,18.127,493.797,0,4.756,1.003,
56,43.8971,0.547,17.592,471.272,0,5.334,1,
55,46.5436,0.494,17.814,482.29,0,5.884,1,
54,49.5398,0.596,18.963,532.933,0.012,6.372,1.001,
53,47.6879,0.51,19.076,536.43,0.01,6.877,1.001,
63,3.10755,0.155,14.339,313.573,0,0.733,1.001,
62,18.3343,0.355,15.436,367.65,0,1.504,1.001,
61,25.4814,0.467,15.06,352.714,0,2.189,1,
60,35.4683,0.49,16.127,393.147,0,2.83,1.001,
59,37.854,0.469,17.02,438.246,0,3.536,1.002,
58,39.32,0.5,17.722,463.624,0,4.098,1,
57,42.2952,0.502,17.394,466.604,0,4.75,1,
56,45.7861,0.549,17.516,470.702,0,5.355,1,
55,42.9307,0.476,19.974,577.786,0,5.835,1,
54,50.1455,0.563,19.246,557.166,0.008,6.373,1,
53,50.2652,0.529,19.411,558.937,0.012,6.807,1,
52,49.7446,0.428,20.172,596.084,0.02,7.255,1,
51,28.1637,0.392,4.13102e+254,-3.0906e+135,0.008,7.886,1.001,
50,28.7432,0.344,20.4413,598.996,0.01,8.211,1,
49,27.7993,0.42,20.5379,623.233,0.008,8.773,1,
48,28.478,0.384,19.6134,565.834,0.008,9.188,1.002,
47,30.4246,0.352,21.3714,661.166,0.007,9.378,1,
46,28.2148,0.324,21.002,657.551,0.01,9.714,1.001,
45,28.4314,0.316,23.1359,767.821,0.009,10.052,1.002,
