4,0,3,2,0.003357
6,-9.95474,4,5,0.003952
8,-9.95474,5,5,0.003439
10,-4.43492,2,2,0.002832
12,1.62769,2,3,0.00178
14,-3.54316,1,2,0.001839
16,-3.57693,2,6,0.648329
18,-8.24699,5,3,0.397614
4,0,3,2,0.003465
4,0,2,3,0.010423
6,-5.20949,3,5,0.008216
8,-5.20949,3,6,0.005782
10,10.1357,2,5,0.105647
12,19.1976,2,2,0.139775
4,0,5,4,0.005411
6,-9.14216,4,5,0.005496
8,-9.14216,4,6,0.005328
10,-2.58578,6,3,0.004577
12,2.4608,7,4,0.422095
14,-0.0133811,6,5,0.202661
16,8.67872,7,1,0.08572
18,7.59573,7,6,0.085047
20,27.1449,4,7,0.064845
22,36.1476,6,7,0.025419
24,34.9554,3,7,0.024057
26,32.02,2,5,0.033494
28,35.9144,7,7,0.041622
30,37.3841,6,2,0.138699
0,0,0,0,0
5,2.90443,5,3,0.516878
5,-2.316,5,5,0.00282
7,1.1697,3,5,0.003914
9,1.1697,5,6,0.003615
10,-11.0187,5,7,0.192566
11,5.10437,5,7,0.002435
13,13.2558,2,6,0.229181
15,11.2742,2,4,0.06695
17,13.1607,2,3,0.102634
19,23.0105,2,7,0.051538
21,25.4495,1,5,0.091465
23,29.8967,0,3,0.103389
25,28.5347,0,5,0.086505
25,26.3439,1,3,0.060581
27,30.4534,0,2,0.052152
29,37.1048,0,6,0.055678
31,37.3335,1,1,0.097193
4,0,2,3,0.009655
6,-5.20949,3,5,0.009408
8,-3.69075,3,6,0.007093
10,2.92924,4,5,0.445466
12,7.05319,4,2,0.327731
14,9.53722,4,7,0.393178
16,13.5864,5,4,0.44664
18,13.4496,3,2,0.355306
20,14.5427,4,1,1.1687
22,17.6611,5,2,0.631456
24,19.2072,6,2,0.993835
26,20.3077,3,0,1.39435
28,17.9893,5,0,0.344509
30,23.1016,6,4,0.137919
32,27.2088,6,0,0.153611
34,27.8115,7,1,0.164427
36,28.2609,2,0,0.115355
38,29.621,1,1,0.154783
40,28.5048,1,2,0.151052
42,34.1152,1,3,0.75891
44,33.3049,3,7,0.765927
46,33.1612,6,7,0.585543
48,35.6125,5,7,0.317064
50,34,6,6,61.1092
52,34,7,4,0.565229
54,34,7,6,0.00867
56,34,0,3,0.00078
57,34,0,5,0.000389
59,34,0,6,0.000274
61,34,1,6,0.000227
63,-999,0,0,0.000268
1,0,32766,233176181,6.95332e-310
5,-2.316,2,2,0.006759
7,8.9625,1,3,0.00815
9,8.9625,4,2,0.004461
10,0.580661,4,1,0.23026
12,2.43001,2,4,0.303899
14,3.90497,3,5,0.644551
16,8.133,2,5,0.540357
18,8.07032,0,4,0.810865
20,9.6887,0,5,0.301474
22,12.2197,0,2,0.147465
24,13.5619,5,3,0.300987
26,14.0175,3,0,0.307233
28,14.3492,1,0,0.222634
30,15.3545,5,1,0.202659
32,24.7253,1,1,0.208083
34,17.3428,4,0,0.207539
36,33.7131,6,0,0.133268
38,33.0089,0,6,0.065741
40,30.418,0,1,0.063784
42,35.3901,2,6,0.822695
44,34.4178,4,7,0.29363
46,35.8667,6,2,0.30522
48,33.1222,7,2,0.238038
50,34,5,5,15.24
52,36,6,5,0.576961
54,40,7,4,0.012727
56,40,5,7,0.001042
58,40,7,6,0.000293
60,40,6,7,0.000182
62,40,2,7,0.000235
64,40,-1,-1,0.000886
4,0,2,3,0.003196
6,2.36768,5,4,1.04299
6,-9.95474,5,4,0.005104
8,-9.95474,5,5,0.006629
10,2.62942,2,4,0.166219
12,1.79287,3,1,0.591222
14,4.54431,6,4,0.492065
16,9.08796,5,3,0.623543
18,10.5915,3,5,0.641243
20,13.982,6,2,0.640195
22,14.5073,4,1,0.932624
24,17.4625,4,0,1.26603
26,22.7369,1,1,0.680602
28,26.5705,1,0,1.07435
30,30.0213,5,0,0.960611
32,33.7894,2,0,0.458135
34,33.8935,0,2,0.329322
36,36.9216,1,2,0.39918
38,38.0743,0,3,0.232184
40,36.4401,1,4,0.251264
42,43.0531,0,5,2.25802
44,39.4371,1,6,1.62577
46,39.472,4,6,1.52031
48,38.8326,1,7,0.67759
50,40,7,4,118.681
52,40,7,6,0.771056
54,40,3,7,0.009954
56,40,5,6,0.00054
58,40,6,6,0.000227
59,32,6,7,0.000221
61,32,7,1,0.000158
63,-999,7,0,0.00021
