6,6.83843,5,4,41.717
4,1.03754e-322,5,4,0
6,4.59317,2,2,7.229
4,8.39912e-323,2,3,0
4,6.42285e-323,2,3,0
6,0,5,4,268.018
4,6.91692e-323,2,3,0
6,0,5,4,192.636
4,4.44659e-322,5,4,0
4,6.42285e-323,2,3,0
4,3.0138e-322,4,5,0
6,4.59736,2,2,7.02
32759,0,0,-1304549959,0
5,-2.316,2,2,0.075
7,1.1697,2,4,0.01
9,1.1697,1,2,0.016
11,3.34304,5,2,0.009
13,8.48242,1,4,0.008
15,4.73899,2,6,30.52
17,5.06718,0,4,24.526
1,1.4822e-322,0,0,2.122e-314
5,-2.316,5,5,0.015
1,6.42285e-323,0,0,2.122e-314
5,-2.316,2,2,0.011
7,1.1697,2,4,0.007
9,1.1697,1,2,0.007
11,3.34304,5,2,0.004
13,-0.117945,4,2,5.632
15,2.76114,3,1,7.312
17,7.85915,3,5,14.728
19,10.5353,1,5,33.98
21,5.97227,2,0,10.657
23,3.53493,0,5,11.534
25,9.79196,5,5,15.246
27,11.4567,5,0,6.609
29,16.0946,5,4,12.745
31,10.1014,0,4,3.028
33,9.95975,0,3,10.695
35,9.68081,5,1,11.606
37,11.7641,0,0,6.526
39,13.4957,5,7,6.384
1,1.4822e-322,0,0,2.122e-314
5,-2.316,5,5,0.004
7,1.1697,3,5,0.005
9,1.1697,5,6,0.005
11,3.34304,5,2,0.003
13,2.54268,5,3,33.981
15,6.32601,6,4,63.226
17,10.4501,2,4,63.209
19,4.58553,2,6,320.35
21,2.50099,7,5,66.976
23,10.6849,2,7,109.745
25,7.75284,2,2,154.359
27,15.3281,7,2,35.09
29,10.6462,3,2,73.056
31,9.99294,3,7,39.035
33,10.7058,7,6,40.117
35,11.8486,6,7,13.664
37,17.0502,1,2,21.361
39,12.041,0,2,6.625
41,20.2699,7,1,4.745
43,0.146188,4,1,5.849
43,0.146188,4,1,5.412
45,-13,4,0,0.535
4,0,2,3,0.004
6,-9.95474,5,4,0.005
8,-9.95474,5,5,0.01
10,-4.43492,2,2,0.005
12,1.62769,3,2,0.003
14,-3.54316,2,1,0.003
16,2.73612,6,2,175.057
18,-2.58451,3,5,145.631
20,-5.28905,1,3,290.476
22,-9.65982,5,1,147.576
24,-5.3548,2,0,155.22
26,1.09384,0,2,69.104
28,-5.10818,4,0,60.635
30,-5.67037,0,5,72.813
32,-6.2951,0,4,72.111
34,-2.4602,1,5,49.873
36,-2.34155,6,0,15.796
38,-0.284397,7,4,14.62
40,-2.818,6,4,16.241
42,-8,2,6,65.679
4,0,5,4,0.102
6,-9.95474,2,3,0.022
4,0,3,2,0.006
6,-9.95474,4,5,0.006
8,-6.42799,3,5,0.022
10,0.113315,3,1,0.024
12,2.83171,5,2,4.429
14,-0.332088,2,5,3.552
16,-4.70739,1,3,9.034
18,2.03842,1,4,7.572
20,7.15818,0,4,3.447
21,21.5095,0,3,3.169
22,5.41302,0,1,1.362
24,3.1873,2,1,1.872
26,4.32354,4,0,0.801
28,22.9021,0,6,0.687
30,24.7787,5,0,0.673
32,16.4682,2,6,1.11
34,14.589,3,6,0.902
36,5.41393,5,5,0.901
38,16.4353,6,3,1.23
40,31.5199,6,2,0.984
42,32,0,0,78.842
44,32,4,7,19.387
32758,0,0,-265345607,0
5,-2.316,5,5,0.005
7,1.1697,3,5,0.006
9,1.1697,5,6,0.006
11,5.10437,5,7,0.004
13,2.88681,4,2,5.062
15,5.65167,2,7,23.342
17,7.84457,6,2,19.832
19,17.2838,3,7,11.635
21,13.3033,6,3,11.025
23,17.0242,3,0,5.463
25,28.3058,7,3,4.219
27,26.6288,7,5,2.044
29,28.376,1,5,3.674
4,0,5,4,0.086
6,5,2,2,0.025
6,-9.95474,2,3,0.007
8,-9.95474,2,2,0.028
10,-4.43492,5,5,0.023
12,1.62769,4,5,0.027
14,-3.54316,5,6,0.025
16,-3.80264,4,2,32.033
18,0.98199,6,2,43.485
20,-0.937247,6,3,15.087
22,-4.3379,3,7,26.956
24,-7.16341,3,6,20.451
26,-1.07919,2,5,16.726
28,6.25814,7,2,9.144
30,0.0285024,7,5,11.55
32,-0.577479,1,2,14.525
34,-5.91365,0,3,6.716
36,2.4758,1,3,3.508
38,3.35051,0,6,4.784
40,-2.95276,0,4,2.705
